dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
io.springfox:springfox-swagger-ui,org.slf4j:slf4j-simple,7,121,365,0.06,0.02,0.06
io.springfox:springfox-swagger-ui,javax.annotation:javax.annotation-api,10,121,235,0.08,0.04,0.08
com.h2database:h2,org.apache.maven:maven-core,22,353,183,0.06,0.12,0.12
org.apache.commons:commons-collections4,org.scala-lang:scala-library,25,217,174,0.12,0.14,0.14
cglib:cglib,com.fasterxml.jackson.core:jackson-annotations,33,126,429,0.26,0.08,0.26
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,javax.servlet.jsp:jsp-api,6,134,103,0.04,0.06,0.06
org.elasticsearch:elasticsearch,org.springframework:spring-beans,15,118,252,0.13,0.06,0.13
commons-cli:commons-cli,org.elasticsearch:elasticsearch,28,368,118,0.08,0.24,0.24
commons-cli:commons-cli,commons-logging:commons-logging,107,368,360,0.29,0.3,0.3
com.alibaba:fastjson,org.testng:testng,15,288,278,0.05,0.05,0.05
com.alibaba:fastjson,org.apache.ant:ant,5,288,154,0.02,0.03,0.03
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.slf4j:slf4j-simple,24,122,365,0.2,0.07,0.2
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.junit.jupiter:junit-jupiter-api,17,122,262,0.14,0.06,0.14
commons-collections:commons-collections,org.awaitility:awaitility,23,272,141,0.08,0.16,0.16
org.apache.lucene:lucene-core,org.easymock:easymock,19,136,185,0.14,0.1,0.14
com.thoughtworks.xstream:xstream,org.codehaus.groovy:groovy-all,23,115,117,0.2,0.2,0.2
com.thoughtworks.xstream:xstream,org.springframework:spring-aop,30,115,171,0.26,0.18,0.26
commons-dbcp:commons-dbcp,org.codehaus.jackson:jackson-mapper-asl,24,122,154,0.2,0.16,0.2
commons-dbcp:commons-dbcp,org.apache.maven.plugin-tools:maven-plugin-annotations,11,122,219,0.09,0.05,0.09
commons-dbcp:commons-dbcp,io.dropwizard.metrics:metrics-core,15,122,145,0.12,0.1,0.12
io.netty:netty-handler,org.apache.commons:commons-collections4,12,106,217,0.11,0.06,0.11
