dependency,count
org.mock-server:mockserver-core,4
io.apiman:apiman-manager-api-war-tomcat8,1
com.alibaba.rsocket:alibaba-rsocket-spring-boot-starter,1
org.apache.rocketmq:rocketmq-serializer-core,1
org.docx4j.org.apache:xalan-interpretive,1
info.archinnov:achilles-documentation,1
org.jboss.resteasy:resteasy-atom-provider,3
org.jboss.ws.projects:jaxws-undertow-httpspi,1
com.egzosn:pay-java-wx,3
com.igormaznitsa:jbbp-plugin-common,1
org.apache.shardingsphere:shardingsphere-db-discovery-api,1
org.apache.shardingsphere:shardingsphere-transaction-core,1
com.codenameone:codenameone-parparvm,1
net.fabricmc:fabric-loader,1
org.restcomm.protocols.ss7.mtp:mtp-api,1
org.geoserver.web:gs-web-wcs,1
com.alicp.jetcache:jetcache-redis,1
com.ontology2:bakemono-options,1
software.amazon.awssdk:iotfleethub,1
software.amazon.awssdk:signer,1
org.apache.streampipes:streampipes-storage-rdf4j,1
de.tudarmstadt.ukp.dkpro.core:de.tudarmstadt.ukp.dkpro.core.stanfordnlp-model-ner-en-all.3class.distsim.crf,1
de.tudarmstadt.ukp.dkpro.core:de.tudarmstadt.ukp.dkpro.core.treetagger-model-tagger-fr-le,1
edu.cmu.cs:ark-tweet-nlp,1
org.apache.cxf:cxf-rt-rs-extension-rx,1
org.springframework.ws:spring-ws-core-tiger,1
org.dcm4che.tool:dcm4che-tool-dcmvalidate,1
org.dcache:dcache-core,1
org.dcache:dcache-history,1
org.dcache:dcache-xrootd,1
jboss:jboss-jmx,2
org.jboss.arquillian.extension:arquillian-rest-client-impl-3x,3
org.zanata:zanata-adapter-glossary,1
org.jupnp:org.jupnp,2
com.creditease.moniter:com.creditease.uav.collect,1
org.ops4j.pax.tipi:org.ops4j.pax.tipi.hamcrest.core,3
com.woorea:keystone-client,2
com.playtika.testcontainers:embedded-oracle-xe,1
qunar.tc.bistoury:bistoury-clientside-common,1
org.apache.maven:maven-builder-support,2
org.jboss.errai:errai-security-keycloak,1
com.amazonaws:aws-java-sdk-sagemakerruntime,2
org.eclipse:text,2
com.google.guava:guava-concurrent,1
io.thorntail:servo,1
io.thorntail:swagger,1
org.hyperic.db2monitor:db2monitor,1
com.caffeineowl:bezier-utils,1
org.apache.skywalking:apm-springmvc-annotation-commons,1
org.apache.skywalking:cluster-nacos-plugin,1
eclipse-photon:org.eclipse.osgi,1
org.kaazing:gateway.transport.sse,1
com.alipay.sofa:config-ark-plugin,1
com.alipay.sofa:sofa-ark-plugin-maven-plugin,1
org.moduliths:moduliths-core,1
org.hipparchus:hipparchus-core,1
com.vladsch.flexmark:flexmark-util-collection,1
io.prestosql.tempto:tempto-ldap,1
org.apache.omid:omid-commit-table,3
io.gravitee.am.gateway:gravitee-am-gateway-core,1
com.stormpath.spring:stormpath-spring-boot-starter,1
org.webjars.npm:dijit,1
co.aikar:acf-sponge,1
org.sakaiproject:sakai-import-impl,1
io.ebean:ebean-test,2
org.hibernate.search:hibernate-search-integrationtest-backend-lucene,1
com.yahoo.vespa.jdisc_core:app-dj,1
com.yahoo.vespa:jaxrs_utils,1
com.gpmall.commons:commons-tool,1
org.nuxeo.ecm.core:nuxeo-core-storage-sql,1
org.atteo.classindex:classindex-transformer-test-compiletimemodule,1
jgroups:jgroups-all,1
org.kie.kogito:cloudevents-utils,1
org.kie.kogito:kogito-addons-quarkus-persistence-infinispan-health,1
org.kie.kogito:kogito-quarkus-deployment,1
br.com.finalcraft:fancychat,1
org.glassfish.common:amx-core,3
org.glassfish.jaccApi.test:jaccApi-common,2
org.glassfish.main.admin:gf-restadmin-connector,2
org.glassfish.main.security:websecurity,2
io.quarkus:quarkus-smallrye-context-propagation-deployment,1
org.atteo:xml-combiner,1
com.wavefront:wavefront-spring-boot,1
com.dspot:declex-api,1
org.wso2.carbon.mediation:org.wso2.carbon.proxyadmin.stub,2
com.amazonaws:aws-lambda-java-runtime-interface-client,1
dep-in-parent:dep,1
org.apache.edgent.android:edgent-connectors-rabbitmq,1
org.apache.edgent.android:edgent-providers-direct,1
com.oracle.oci.sdk:oci-java-sdk-apmtraces,1
com.oracle.oci.sdk:oci-java-sdk-cims,1
org.tanaguru:tanaguru-rgaa2.2,1
org.apache.predictionio:predictionio-sdk-java-client,1
org.dromara:hmily-tac-sqlcompute,1
org.wildfly.swarm:config-api-runtime,1
org.zalando:opentracing-flowid-autoconfigure,1
org.zalando:opentracing-proxy,1
avalon-framework:avalon-framework,4
iped:iped-parsers-impl,1
iped:java-dbf,1
qunar.tc.qconfig:qconfig-client,1
com.webank.wedatasphere.linkis:linkis-workspace-httpclient,1
org.dcm4che.dcm4chee-arc:dcm4chee-arc-rs-util,1
org.sonatype.nexus:nexus-scheduling,1
com.smartbear.utils.analytics:out-app-analytics-provider,1
org.antlr:antlr-master,1
tagsoup:tagsoup,1
com.logicalclocks:service-discovery-client,1
com.youlai:common-rabbitmq,1
org.vassalengine:vassal-app,1
org.codice.ddf.spatial:spatial-geocoding-offline-index,1
org.oreon.common:oe-common-ui,1
org.wso2.carbon:org.wso2.carbon.identity.oauth.stub,1
org.onebusaway:onebusaway-siri-api,1
org.apache.sentry:solr-sentry-handlers,1
org.apache.shenyu:shenyu-register-common,1
org.talend.esb.auxiliary.storage:auxiliary-storage-persistence-file,1
org.talend.esb.examples.rent-a-car:reservationservice-common,1
org.swordapp:sword-common,1
org.apache.ignite:ignite-rest-http,1
org.apache.ignite:ignite-ssh,1
org.gephi:lib.validation,1
org.wso2.orbit.io.swagger:swagger-parser,1
com.pusher:pusher-http-java,1
de.dfki.mary:marytts-lang-fr,1
com.axellience:vue-gwt-processors,1
org.opennms.features.distributed:org.opennms.features.distributed.dao-api,1
org.tmforum.tip:TIP_JvtSpec_BaseInterfaces,1
org.eclipse.hono:hono-service-command-router-base,1
fish.payara.server.internal.security:appclient.security,1
org.restcomm.media.core.asr:media-core-asr-api,1
