groupId,artifactId,mcrTags
org.apache.pulsar,pulsar-client-admin,"admin,apache,client"
org.apache.pulsar,pulsar-transaction-common,"apache,transaction"
org.apache.cxf.services.xkms,cxf-services-xkms-features,"service,apache"
org.glassfish.jersey.connectors,jersey-apache-connector,"apache,connector,webservice"
net.time4j,time4j-base,time
org.odpi.egeria,open-connector-archives,connector
io.quarkus,quarkus-jsch,io
org.opennms.core.ipc.sink.camel,org.opennms.core.ipc.sink.camel.server,"server,camel"
org.apache.camel.quarkus,camel-quarkus-aws2-athena,"aws,amazon,apache,camel"
javax.transaction,javax.transaction-api,"standard,javax,api,transaction,specs"
org.eclipse.microprofile.context-propagation,microprofile-context-propagation-tck,eclipse
org.apache.shiro.samples,samples-spring-client,"security,spring,apache,client,example"
org.eclipse.milo,bsd-core,eclipse
io.gravitee.am.model,gravitee-am-model,"model,io"
org.apache.james,james-server-guice-imap,"imap,server,dependency-injection,apache,mail"
org.metawidget.modules.static.faces,metawidget-static-richfaces,module
org.pentaho,pentaho-encryption-support,"support,cryptography"
io.confluent,kafka-protobuf-types,"streaming,serialization,kafka,io,protocol"
org.eclipse.ditto,ditto-internal-models-streaming,"streaming,model,eclipse"
org.flowable,flowable-rest,rest
org.opennms.core.health,org.opennms.core.health.api,api
com.vividsolutions,jts,math
org.opennms.features.minion.shell,org.opennms.features.minion.shell.collection,shell
org.glassfish.jersey.test-framework.providers,jersey-test-framework-provider-simple,"provider,framework,testing,webservice"
software.amazon.awssdk,marketplaceentitlement,"aws,amazon"
com.google.maps,google-maps-services,"google,service"
com.baidu,bns-client-spring,"spring,client"
org.apache.commons,commons-vfs2-jackrabbit2,"apache,cms,commons"
org.gephi,desktop-datalab,"desktop,module,netbeans"
org.openehealth.ipf.platform-camel,ipf-platform-camel-ihe-fhir-stu3-pixpdq,"platform,camel"
org.openpreservation.jhove.modules,aiff-hul,module
org.activiti,activiti-api-process-model,"model,process,bpm,api"
org.openhab.addons.bundles,org.openhab.binding.xmltv,"binding,bundle"
org.dkpro.core,dkpro-core-io-brat-asl,io
de.codecentric,spring-boot-admin-server-ui,"admin,server,spring,ui"
org.apache.commons,commons-vfs2-jackrabbit1,"apache,cms,commons"
org.geotools.schemas,iso-19139-2007,"geo,schema"
org.mortbay.jetty,jetty-util,"server,webserver,jetty"
org.wso2.is,org.wso2.identity.integration.common.utils,"integration,identity"
org.apache.iotdb,flink-iotdb-connector,"apache,connector"
org.openhab.addons.bundles,org.openhab.binding.zoneminder,"binding,bundle"
io.envoyproxy.controlplane,cache,"io,proxy,cache"
org.apache.geronimo.modules,geronimo-transaction,"module,apache,transaction"
ognl,ognl,"expression,language"
com.networknt,swagger-validator,"swagger,api,validation"
org.sakaiproject,sakai-usermembership-api,api
org.apache.pulsar,pulsar-io-redis,"database,apache,io,redis"
org.apache.camel.quarkus,camel-quarkus-threadpoolfactory-vertx,"vertx,apache,camel"
com.github.qcloudsms,qcloudsms,github
org.apache.geronimo.specs,geronimo-jcache_1.0_spec,"apache,specs"
com.vaadin,vaadin-avatar-flow,"gwt,web-framework"
com.twitter,hpack,twitter
org.camunda.bpm.webapp,camunda-webapp,"application,bpm,web,webapp"
org.umlg,sqlg-postgres,"database,postgresql"
org.eclipse.jgit,org.eclipse.jgit.junit.http,"junit,eclipse,testing,git,http"
org.xwiki.platform,xwiki-platform-model-api,"model,api,platform"
org.odpi.egeria,software-developer-spring,spring
org.apache.flink,flink-metrics-dropwizard,"apache,metrics"
org.eclipse.jkube,jkube-kit-spring-boot,"eclipse,spring"
org.apache.knox,gateway-util-urltemplate,"gateway,apache"
org.netbeans.api,org-openide-actions,"ide,api,netbeans"
com.vaadin,vaadin-icons,"web-framework,gwt"
io.joynr.java.messaging.websocket,joynr-websocket-client,"messaging,websocket,client,io"
org.apache.wicket,wicket-cdi,"apache,wicket"
org.moditect.layrry,layrry-config-yaml,"yaml,config"
org.corfudb,corfudb-tools,tools
io.gatling,gatling-core,"load,testing,metrics,io,performance"
io.prestosql.tempto,tempto-kafka,"streaming,kafka,io"
org.apache.camel,camel-platform-http,"apache,platform,http,camel"
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.sfst-model-morph-de-morphisto-ca,model
org.activiti,activiti-core-test-local-runtime,"bpm,testing,runtime"
org.test4j,test4j-junit5,"junit,testing"
org.eclipse.ditto,ditto-legal,eclipse
org.cryptomator,webdav-nio-adapter,"webdav,io"
com.github.scopt,scopt_2.10,"github,command-line,cli,parser"
org.fcrepo,fcrepo-storage-ocfl,storage
org.apache.nifi,nifi-ranger-plugin,"plugin,apache"
org.openhab.binding,org.openhab.binding.denon,"plugin,binding,eclipse"
org.opennms.core.tracing,org.opennms.core.tracing.jaeger-tracer,tracing
org.apache.flume.flume-ng-channels,flume-spillable-memory-channel,"apache,memory"
ddf.catalog.core,catalog-core-validator,validation
org.apache.bookkeeper.tests,stream-storage-tests-common,"streaming,testing,apache,storage"
org.securegraph,securegraph-elasticsearch-parentchild,"elasticsearch,elastic,search"
org.apache.tiles,tiles-ognl,apache
org.xwiki.platform,xwiki-platform-security-bridge,"security,bridge,platform"
org.openhab.addons.bundles,org.openhab.binding.tr064,"binding,bundle"
org.apache.camel,camel-hawtdb,"apache,camel"
io.mockk,mockk,"io,mocking,testing"
org.apache.shardingsphere,sharding-transaction-core,"apache,transaction"
org.moditect.layrry,layrry-platform,platform
io.github.rburgst,okhttp-digest,"github,io,http"
org.apache.logging.log4j,log4j-core,"logging,apache"
org.apache.nifi,nifi-documentation,"doc,apache"
org.jenkins-ci.plugins,envinject,"plugin,jenkins"
com.github.mob41.blapi,broadlink-java-api,"github,api"
com.marcosbarbero.cloud,spring-cloud-zuul-ratelimit-core,"spring,cloud"
com.sun.web.ui,cc,"web,ui"
org.apache.sling,org.apache.sling.testing.osgi-mock.junit4,"mock,junit,testing,apache,osgi"
org.apache.parquet,parquet-column,"parquet,serialization,apache,column"
org.wildfly.swarm,ee-runtime,runtime
com.github.fangjinuo.sqlhelper,sqlhelper-mybatisplus_2x-spring-boot-starter,"github,spring,starter"
com.microsoft.spring.data.gremlin,spring-data-gremlin,"data,spring"
org.iq80.leveldb,leveldb-api,"leveldb,api"
org.apache.flink,flink-hbase_2.11,"database,apache,hbase"
com.squareup.keywhiz,keywhiz-api,api
org.wso2.carbon.identity.user.api,org.wso2.carbon.identity.api.user.session.common,"api,identity"
org.locationtech.geowave,geowave-cli-kudu-embed,"embedded,command-line"
org.springframework.cloud,spring-cloud-starter-aws,"aws,amazon,spring,cloud,starter"
com.github.dapeng-soa,dapeng-spring,"github,soa,spring,service"
it.unibz.inf.ontop,ontop-mapping-sql-core,"sql,mapping"
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.rftagger-model-morph-sk-snk,model
org.eclipse.rdf4j,rdf4j-sail-base,"rdf,eclipse"
net.adamcin.oakpal,oakpal-testing,testing
org.openhab.binding,org.openhab.binding.ebus,"plugin,binding,eclipse"
tk.mybatis,mapper-spring-boot-autoconfigure,"persistence,spring,mapping,config"
com.swrve,rate-limited-logger,logging
